Dialogue;Mood;Sport;Glucose;Glucose_binary;Insulin;Insulin_dose;Bad_food;Remedies_low_glucose_level;Remedies_high_glucose_level;Glucose_checks;Symptoms_low_blood_sugar;Symptoms_high_blood_sugar;Risk_situation;Good_food;All_together;;;;;;;;;;;
hi, what's up ? i don't feel good , I have a very high glucose level. I feel very thirsty all the time . Did you inject an extra dose of insulin ? Yes , but it didn't work . Try to drink some water and go talk to your doctor . Ok . Thanks . ;i don't feel good;;I have a very high glucose level;high;;;;;inject an extra dose of insulin;;;I feel very thirsty all the time;;;;;;;;;;;;;;
hi, what's up ? i could be better . How are your glucose levels ? I am very low . Do you have any symptoms ? Yes , I feel nauseous and i go to the bathroom very often . Oh , that's not good . Drink or eat something sweet . Yes, I just drank a juice and i ate a slice of bread . Ok . Rest a little and your glucose levels will improve . ;i could be better;;I am very low;low;;;;I just drank a juice and i ate a slice of bread ;;;I feel nauseous and i go to the bathroom very often;;;;;;;;;;;;;;;
hi, what's up ? I don't feel good . I have chest pain. Do you think i have to go to the doctor ? I don't know . How are your glucose levels ? I just checked them, I am low . Yes , that's what i thought . Try to eat some carbohydrates as rice or pasta and if your symptoms don't improve , go talk to your doctor . Ok , i will do that . Thanks . Bye . ;I don't feel good;;I am low;low;;;;Try to eat some carbohydrates as rice or pasta;;;I have chest pain;;;;;;;;;;;;;;;
hi, what s up ? i'm fine but i have high glucose levels . What did you ate for lunch ? I had pork with some vegetables and potatoes . Oh, potatoes aren't good for diabetics . You shoud recalculate your insulin dose . Yes , i will take into account the lunch . Ok . Thanks for your help . You're welcome .;i'm fine;;i have high glucose levels;high;;i will take into account the lunch;I had pork with some vegetables and potatoes;;;;;;potatoes aren't good for diabetics;;;;;;;;;;;;;
hi, what s up ? i'm really tired . I also feel general malaise . And how are your blood sugar ? It's really high , I forgot my insulin and I am on a trip . Oh! That could be very dangerous . Yes, i know . You should see a doctor and ask for more . Yes , I will . In the meanwhile, try to do some exercise . Yes , i will go swimming to the beach . Talk to you later .;i'm really tired;swimming in the beach ;it's really high;high;;;;;;;;I also feel general malaise;I forgot my insulin;;;;;;;;;;;;;
hi, what s up ? i'm fine .  What did you do today ? I went hiking to the mountain with my friends . That is great . Did you control your blood glucose? Yes , I have a normal blood sugar level . That is cool! Don't forget to keep checking it . Yes, i will do it . Thanks .;i'm fine;hiking to the mountain;I have a normal blood sugar level;normal;;;;;;;;;;;;;;;;;;;;;;
hi, what s up ? I'm okay but my blood sugar is a bit high . Why is that ? I ate a hamburger with french fries for lunch . That is not okay for your sugar . Did you adjust your insulin levels ? Yes but i don't think i have done it right . Don't worry, try to do some exercise and check it again later . Ok , i have my crossfit class now . Perfect timing . Yes , i have to go . Ok . Good afternoon . ;I'm okay;crossfit class;my blood sugar is a bit high;high;;;I ate a hamburger with french fries;;;;;;I ate a hamburger with french fries for lunch;;;;;;;;;;;;;
hi, what s up ? i'm fine . i haven't been better. How is your blood glucose? It is bit low but i think that it will improve with the grapes i just ate. Yes ,  it may improve . Check your glucose levels again in one hour . Yes , i will . Bye , take care . Okay .;i'm fine;;It is bit low;low;;;;grapes;;Check your glucose levels again in one hour;;;;;;;;;;;;;;;;
hi, how are you feeling today ? i'm doing fine . How are your glucose levels ? I am a little high but i will now go boxing . Ok , that may improve your glucose levels . I think so . Control your glucose levels during your training in case they drop . Ok , I will. Thanks for the advise . Talk to you later . ;i'm doing fine;boxing;I am a little high;high;;;;;;Control your glucose levels during your training;;;;;;;;;;;;;;;;
hi, how are you feeling today ? I don't know , i feel dizzy . How are your glucose levels ? I am a little low . Try eating something with sugar . I thought about some natural yogurt . I think maybe a juice would be better . Ok , can i have some cookies ? Maybe one or two , but be careful with a glucose spike . ;I don't know ;;I am a little low;low;;;cookies;eating something with sugar;;;i feel dizzy;;;;;;;;;;;;;;;
hi, how are you feeling today ? I'm not okay . All day i have had a metallic taste in the mouth . That's not okay . How are your glucose levels ? I just checked them and i am very high . Inject some fast action insulin to low your levels . Ok , i will . I hope you will feel better then . ;I'm not okay ;;i am very high;high;;;;;Inject some fast action insulin to low your levels;;;metallic taste in the mouth;;;;;;;;;;;;;;
hi, how are you feeling today ? bad , I have loss of direction . And how are your glucose levels ? I am very low . That's why you feel you have loss of orientation . Try eat some carbohydrates as white bread or a homemade cake . Ok ! I will eat a cake . Thanks .;bad;;i am very low;low;;;;Try eat some carbohydrates as white bread or a homemade cake;;;I have loss of direction;;;;;;;;;;;;;;;
hi, i have a terrible headache and some nausea . Could it be because of my sugar levels ? Yes , it could be . How is your blood glucose ? It is low . Ok , eat some sugar or a fructose pill . It will help you feel better . Ok , perfect ! Thanks for your help . Any time . Talk to you tomorrow . Bye .;i have a terrible headache and some nausea;;it is low;low;;;;eat some sugar or a fructose pill;;; i have a terrible headache and some nausea;;;;;;;;;;;;;;;
hello , my glucose levels are quite high today and i don't know how to improve them . Did you take an extra dose of insulin ? Yes , i did a couple hours ago . Ok , go do som exercise as running or cycling . Okay , i will go take a ride on the bike . Be careful because your glucose levels could drop . Yes, thank you . Bye bye .;;running or cycling . a ride on the bike;my glucose levels are quite high today;high;;;;;extra dose of insulin ;;;;;;;;;;;;;;;;;
hi, how are you feeling today ? My mood is good but i don't feel okay . I am sleepy all the time . When did you check your blood glucose ? This morning and i was fine . What did you have for lunch ? I had some pasta with tomato sauce . Oh… maybe you should check your glucose levels again . Okay , i did it and i am high now . Inject an extra dose of insulin . ;My mood is good but i don't feel okay;;i am high now;high;;;I had some pasta with tomato sauce;;;;;I am sleepy all the time;;;;;;;;;;;;;;
hi, how are you feeling today ? i haven't been better. How is your blood glucose? They are alright . What are you going to do today ? I will go play a paddle match . Oh great, i hope you will win . Thanks . Doing exercise improves your glucose levels ? Yes , it helps controlling my blood sugar . Thats great ! Yes , talk to you later .;i haven't been better.;play a paddle match;They are alright;alright;;;;;Doing exercise;;;;;;;;;;;;;;;;;
hi, how are you feeling today ? i'm alright . Last night i went to a concert . I drank some bears and eat pizza . How is your blood glucose? It is bit high . I injected an extra dose of insulin twenty minutes ago . Ok , check your levels again in an hour or so . Okay , i will . Bye . ;i'm alright;;It is bit high;high;;;I drank some bears and eat pizza;;I injected an extra dose of insulin twenty minutes ago;check your levels again in an hour or so;;;;;;;;;;;;;;;;
hi, how are you feeling today ? i'm ok . How is your blood glucose? It is bit low but i only feel a little tired . Ok , but you should control it . Drink some sugar water . Okay, i will . Thanks . See you .;i'm ok ;;It is bit low;low;;;;Drink some sugar water;;;i only feel a little tired ;;;;;;;;;;;;;;;
Good morning. Hi! How are you doing? I’m not well. Why? My glucose levels are high. Have you eaten anything special? Yes, yesterday was my birthday and I ate chocolate cake. Oh, you should inject an extra insulin dose. Ok, I’ll do it. Thanks.;i'm not well;;my glucose levels are high;high;;;chocolate cake;;;;;;I ate chocolate cake;;;;;;;;;;;;;
Hello , I was diagnosed a month ago and i don't have much information about the disease . Oh ! I'm sorry . How is your blood sugar today ? I am a little bit low . Ok , don't worry . You can drink a soda ;;;i am a little bit low;low;;;;drink a soda;;;;;;;;;;;;;;;;;;
Hey! How have you been ? I've been stressed lately . Why ? I had my final exams and it was stressful . Yeah ! I can imagine that . How do you have your glucose levels ? They are a little low . Do you have any symptoms ? Yes, I have dizziness . What should I do ? You should take some carbohydrates , as bread , pasta or rice . Ok , i'll eat some pasta . Thanks . Anytime . Talk to you later;i've been stressed lately;;they are a little low;low;;;;take some carbohydrates, as bread, pasta or rice;;;i have dizziness;;;;;;;;;;;;;;;
Hello ! How's it going ? I'm okay, yesterday i did lots of exercise . Yeah ? What did you do ? I played a football match . Did you win ? Yes ! We won the championship . Thats great ! Congratulation! Thanks. And how are your glucose levels today ? I am quite low and I am feeling tired . I think that will improve if you drink a sugar beverage . Ok ! I will . Thanks for the advise .;i'm okay;play a football match;i am quite low;low;;;;drink sugar beverage;;;i am feeling tired;;;;;;;;;;;;;;;
Good afternoon . Hey ! How have you been ? Not in my best mood, I am sad . Oh… can I ask you why ? Yes , my cat died last week . I'm sorry . Thanks . It affected my glucose levels, I am low since then. Did you have any symptoms ? I had cold sweat . I am sorry to hear . Have you tried to change your diet ? No . Maybe you need to add some carbohydrates as pasta or rice . You could even eat a homemade pizza . Ok! I will try that . Thanks . You're welcome . ;not in my best mood, i am sad;;i am low;low;;;;need to add some carbohydrates as pasta or rice. Even eat a homemade pizza;;;i had cold sweat;;;;;;;;;;;;;;;
Good night. It is late, what are you doing awake ? I'm not well , I have my glucose levels low so I woke up . That isn't nice . Maybe you should eat some sugar . Do you think I can eat cookies ? Yes, but only one or two . Okay . Thanks for your help . Talk to you later . ;i'm not well;;;;;;;eat some sugar. eat only one or two cookies;;;i woke up;;;;;;;;;;;;;;;
Hey , how are you ? I'm not doing well . Yesterday i didn't eat much so today I have low glucose levels . Do you have any symptoms ? Yes, I have vision disturbances . You shoud drink sugar water . You're levels will improve . Okay , I am going right now . Thank you very much . Anytime . Bye .;i'm not doing well;;i have low glucose levels;low;;;;drink some sugar water;;;i have bad disturbances;;i didn't eat much;;;;;;;;;;;;;
Hello , how are you ? I am really excited . About what ? I'm going to my dream trip next week . Oh ! That is awesome . Have you controlled your glucose levels ? Strong emotions may affect them . No , my glucose levels are a bit low . Do you have any symptoms ? When I have low glucose levels , I always a headache . Ok , so don't forget to eat or drink something sweet . Yes ! I will right now . Thank you . Bye .;i am really excited;;my glucose levels are a bit low;low;;;;eat or drink something sweet;;;i always have headache;;strong emotions may affect them;;;;;;;;;;;;;
Hey ! It's been a few days since we last spoke . How have you been ? I've been great but now I am feeling of tiredness . Why is that ? I don't know , maybe it is because I have low blood sugar levels . Yes , it could be . What shoud I do ? You shoud eat something sweet , as candy or milk chocolate . Ok . I will .;i am feeling of tiredness;;i have low blood sugar levels;low;;;;eat something sweet, as candy or milk chocolate;;;;;;;;;;;;;;;;;;
Hello , I need your help . I don't feel good . Ok , what do you feel ? I have a fainting sensation and weakness . Have you checked your glucose levels ? Those are symptoms of a low blood sugar . No , I didn't until now. My blood sugar levels are low . How can I improve them ? You shoud eat some sugary fruits as papaya or mango . Okay , I will . Thanks for your help . It means a lot . Anytime .;i don't feel good;;my blood sugar levels are low;low;;;;eat some sugary fruits as papaya or mango;;;i have a fainting sensation and weakness;;;;;;;;;;;;;;;
Good night . I need help . I don't feel good . I have difficulties in expressing myself , could it be related with my glucose levels ? Maybe, did you check them ? Yes , I am low . You shoud eat fruits with lots of sugar as watermelon, figs or grapes . If you don't feel better , you shoud talk to your doctor . Thanks for the advise . You're welcome. Bye bye .;i don't feel good;;i am low;low;;;;eat fruits with lots of sugar and watemelon, figs or grapes;;;i have difficulties in expressing myself;;;;;;;;;;;;;;;
Hi . Hey ! How are you ? I am not feeling great these days. What do you feel ? I have lack of focus and I cannot concentrate in my exams . How are you're glucose levels ? I don't know. Can you check them ? Yes, I just did it and I am very low . That could explain your lack of focus . Drink a juice and try to maintain your glucose levels in the right number and you'll feel better . Thank you ! I'll try . I have to go . Bye!;i am not feeling great these days;;i am very low;low;;;;drink a juice;;;i have lack of focus and i cannot concentrate in my examens;;;;;;;;;;;;;;;
Hello . How are you feeling ? I am not okay . I've been several hours without eating and now I feel general weakness . It could be a drop in your glucose levels . Did your check your blood sugar ? Yes, as you said , I am very low . okay , so my recommendation is that you eat something as a piece of fruit or drink a juice and then check your glucose levels again . If they're not okay , you shoud ask your doctor . Okay , thank you for your advise . I have to go . Bye .;i am not okay;;i am very low;low;;;;eat something as a piece of fruit or drink a juice;;then check your glucose levels again;;;i've been several hours without eating;;;;;;;;;;;;;
Hey ! It's been some time since the last time . How have you been ? I had a lot of work and I was very stressed . Did you control your glucose levels ? I tried, but I am still a little low . I feel exhausted . That could be a symptom of your low glucose level. You could do a homemade cake and eat a little piece everyday until your glucose levels are controlled . Good idea ! I will bake a cake . Also it will help me relax . That is right! Have fun . Thanks, you too. Bye.;i was very stressed;;i am still a little low;low;;;;do a homemade cake and eat a little piece everyday;;;i feel exhausted;;;;;;;;;;;;;;;
Hello , i need help . I feel bad . What do you feel ? I feel dizzy . Since when ? It started two hours ago . I didn't have breakfast this morning and maybe it was it . The lack of eating could drop your glucose levels . Did you check them ? Yes , I am low and i ate sugar twenty minutes ago . It didin't improve . Maybe you didn't take the right amount. Wait an hour and recheck your glucose levels . If they still low, talk to your doctor . ;i feel bad;;i am low;low;;;;;;wait an hour and recheck your glucose levels;;;i didn't have breakfast;;;;;;;;;;;;;
Hi . How are you feeling ? I am bad . I feel nauseous , tired and thirsty . Usually these are symptoms of a spike in your glucose levels . What did you ate today ? I had some pork sausages with baked potatoes . Have you checked your glucose levels ? These meal could have affected it . Yes, I just saw I am very high . That's the reason for your symptoms . I recommend you inject an extra dose of insulin and be careful with the food you eat today . Okay . I will . Thanks . ;i am bad;;i am very high;high;;;i had some pork sausages with baked potatoes;;inject an extra dose of insulin;;;i am nauseus, tired and thirsty;I had some pork sausages with baked potatoes;;;;;;;;;;;;;
Good afternoon. Hi! How are you ? I am not okay, this morning I do not correctly calculate the right amount of carbohydrates I ate . And how are your glucose levels ? They are low since this morning and I feel loss of direction . Don't worry , if you eat carbohydrates you should feel better . Ok , how much should I eat ? I think that with one or two bread slices , it will be ok . Thanks .;i am not okay;;they are low;low;;;;eat some carbohydrates, one or two bread slices;;;i feel loss of direction;;I do not correctly calculate the right amount of carbohydrates I ate;;;;;;;;;;;;;
Hi , I need your help . What do you need ? I feel really bad , I have feeling of fainting and leg tremor since . It is related with my blood sugar ? It could be . Please check your levels now . Ok , I just did and they are very low . Ok , drink a soda and it will improve . If you don't feel better in half an hour, please go see your doctor . Okay . Thanks for your help . You're welcome . ;i feel really bad;;they are very low;low;;;;drink a soda;;;I have feeling of fainting and leg tremor;;;;;;;;;;;;;;;
Hello ! How are you doing ? Fine ! But I am extremly hungry . I am cooking a big meal . What are you cooking ? A lentils salad with lots of raw vegetables . Oh ! Be careful because this food isn't very good for your glucose levels . Did you check your glucose levels today ? I just did , i am a little low . I am sure you feel better after you eat . Yes ! I hope so . I have to go . Talk to you later . ;fine;;i am a little low;low;;;lentils salad with lots of raw vegetables;;;;i am extremely hungry;;;;;;;;;;;;;;;
I need your help . What happened ? I don't feel well . I have blurry vision and a headache . Did you eat enough today ? I don't think so , I was out all day and I didn't have any snacks . Maybe your glucose levels are low , check them . You are right ! My glucose levels are a little bit low . Can you buy any snack ? Yes , I will buy some fruit . Which one do you recommend me ? I think grapes are ok . Thanks . I have to go , bye . ;i don't fell well;;are a little bit low;low;;;;some fruit, grapes;;;i have blurry vision and headache;;i didn't have any snacks;;;;;;;;;;;;;
Hello . Hi ! How are you feeling ? I am okay but i think my glucose levels are low . And why do you think that ? I usually eat every three hours but this time i haven't eaten anything for five whole hours . And do you have any symptoms ? Well , I am sweaty and I feel tired . Check your blood sugar . Ok , I am very low . That explain your symptoms . What do you usually do in these situations ? I eat 5g of sugar . Ok , have you done it ? Not yet . Try it and you will feel better . Okay , thanks. for your support . Anytime . Bye .;i am okay;;i am very low;low;;;;eat 5g of sugar;;;i am sweaty and i feel tired;;i haven't eaten anything for five whole hours;;;;;;;;;;;;;
Hi , I don't feel well . What is happening to you ? I have blurred vision . I am new to the diabetic group . Don't worry . Did you check your glucose levels ? Maybe you are a little low . Ok , I just checked and I am low . What should I do ? Try eating something sweet as a biscuit or a little piece of cake . Ok , i will . Thanks for your advise . I am here for you . Thanks . ;i don't feel well;;i am low;low;;;;try eating something sweet as a biscuit or a little piece of cake;;;i have blurred vision;;;;;;;;;;;;;;;
Hello , my glucose levels are quite low … i have heavy legs and i don't feel okay . Don't worry … Did you eat anything ? Yes , I took a fructose pill . That should help . Yes , I hope so . Check your glucose levels again in one hour . Okay , I will . Thanks . No problem . ;i don't feel okay;;are quite low;low;;;;fructose pill;;check your glucose levels again in one hour;i have heavy legs;;;;;;;;;;;;;;;
Good afternoon . Hey ! How are you doing ? Not well … I am very sleepy . Did you sleep well last nigh ? Yes , i slept eight whole hours . So , maybe you're sleepy because of your glucose levels . I am a little bit low … could it be the reason ? definitely yes . You should drink a soda and you will feel better . Ok ! Thanks ! Talk to you later . ;not well;;i am a little bit low;low;;;;drink a soda;;;i am very sleepy;;;;;;;;;;;;;;;
Hello , how are you doing ? I could be better … My legs are trembling . Oh , yes ? Did you check your glucose levels ? No , i didn't think it could be related . Yes , it may be the reason of your leg trembling . Ok , i checked and my glucose levels are a little low . That's what i thought . Drink some sugar water and you'll feel better . Ok , i will . Thanks for everything !;i could be better;;are a little bit low;low;;;;drink some sugar water;;;my legs are trembling;;;;;;;;;;;;;;;
Hey ! How have you been ? I have been great ! What are you going to do today ? Right now i was thinking of baking a cake … I have sweet cravings today . Oh , that may indicate that your glucose levels are not right . Did you check them ? I just did , my glucose levels are a bit low . Ok , i think maybe after you eat a piece of your cake , you'll feel better . Yes ? I didn't think that was because my glucose levels . Thanks for teaching me . You're wlecome . I have to go . Bye .;i have been great;;are a little bit low;low;;;;eat a piece of your cake;;;sweet cravings today;;;;;;;;;;;;;;;
Hello . I am a little scared . What do you have ? I feel a palpation … I can't ignore it . It's been happening since this morning . Did you check your blood sugar ? It might be correlated ? Yes , it might be . Oh , you're right . I am very low . So you should take some sugar , as candy . Then , check again your blood glucose and if it still low and your palpation don't improve , go talk to your doctor . ;i am a little scared;;i am very low;low;;;;take some sugar , as candy;;check again your blood glucose;I feel a palpation;;;;;;;;;;;;;;;
Hey ! How are you ? I feel alright . That's cool ! What did you do today ? I went to the gym to do some exercise . Very good ! Did you eat carbohydrates after your sport ? No , I didn't . Maybe you should . Your glucose levels could drop after doing some sport . Yes , I just checked and my blood sugar is a little low . Don't worry , eat something and it will improve . Ok , i will . Thanks . Talk to you later . ;i feel alright;gym to do some exercise;is a little low;low;;;;eat something;;;;;;;;;;;;;;;;;;
Hey , I have a loss of direction . Yes ? Tell me more . Yeah , I am on the mointain and i can't remember anything . Don't worry . It may be your blood sugar . Is it low ? Yes , my blood sugar is a little low . Eat any snack you have and you will feel better . Okay . I will . Thanks for your advise . ;;;is a little low ;low;;;;Eat any snack ;;;I have a loss of direction;;;;;;;;;;;;;;;
Hey , I need to talk to you . I don't feel great . What do you have ? I feel physical weakness … How are your blood sugar levels ? I am very low but i don't know how to improve them . Have you eaten anything ? Yes , I ate some ham . Oh , you should better eat some carbohydrates as bread or pasta . Okay , i will have some bread . Thanks . You're welcome .;i don't feel great;;I am very low;low;;;;eat some carbohydrates as bread or pasta;;;I feel physical weakness;;;;;;;;;;;;;;;
Hello . Hi . How are you ? I am sad . Why is that ? I just started in a new job . I was exited but now i have a lack of motivation . Oh . The stress of a new job could impact in your glucose levels . I didn't know that . Check them right now . You're right , my glucose is low . That may explain the lack of motivation . Try drink a soda and add some more carbohydrates to your diet if the levels don't improve . Ok , thank you for your advice . No problem . I have to go , I was nice talking to you . Have a nice day !;I am sad;;is low;low;;;;drink a soda and add some more carbohydrates to your diet;;;i have a lack of motivation;;The stress of a new job could impact in your glucose levels;;;;;;;;;;;;;
Hi ! How are you doing ? I am not well . My parents say that I have mood swings and that I am always sad or angry . Recently i have been diagnosed with diabetes . Could it be your glucose levels . Check them now , please . Ok , I am a bit low . Is that the reason of my mood swings ? Yes . It could be . Try eat a cookie . I will . Thanks for your help ! It was nice . Anytime . ;i am not well;;I am a bit low;low;;;;eat a cookie;;;I have mood swings and that I am always sad or angry;;;;;;;;;;;;;;;
Hello , I have a problem . Yesterday i took more insulin than needed . Oh … and how do you feel ? I am right , I think . I am a bit tired though . It may be it . Don't worry , eat something with sugar . Maybe a cookie or a juice . Ok . Thanks for your advice . ;I am right;;;;;;;eat something with sugar;;;;;i took more insulin than needed;;;;;;;;;;;;;
Hi there . How have you been ? I am good , thanks . What's new ? These past days I have a lack of visual acuity … Do you think I should go visit the ophtalmologist ? Did you check your glucose levels ? I just did , my glucose levels are very low . That should explain your lack of vision acuity . Try to eat something sweet and if it doesn't improve , go talk to your doctors . Thanks for listening to me . Anytime . Bye .;I am good;;are very low;low;;;;eat something sweet;;;I have a lack of visual acuity;;;;;;;;;;;;;;;
Good night. It is very late , what are you doing awake ? I am not able to sleep . I have tried for three long hours . Are you stressed about anything ? No , everything in my life is great right now . Maybe you should check your glucose levels . Ok , I just did and i am very low . That could explain your lack of sleep . Try eating 5g of sugar and also eat something sweet everyday before going to sleep . Ok , I will . Thanks .;;;i am very low;low;;;;eat 5g of sugar and also eat something sweet everyday;;;I am not able to sleep;;;;;;;;;;;;;;;
Hey ! Oh , it's late … are you alright ? I don't feel good and I am unable to sleep . Did you check your glucose levels ? Yes , I am very low . Oh , have you had anything ? Yes , I drank a lot of water . Maybe that wasn't enough . Drink a juice or a soda . That might help . Ok . Thanks . Talk to me if it doesn't. I will . Thanks .;I don't feel good;;I am very low;low;;;;Drink a juice or a soda;;;I am unable to sleep;;;;;;;;;;;;;;;
Hi ! How are you feeling ? I am feeling great ! I just came home after walking 10 miles . Wow! That is a lot of exercise . Be careful because your blood sugar may drop . I will check my glucose levels right now . How are you ? I am a little low … maybe it will contininue droping if i don't do anything . Yes , try eating a piece of fruit . Ok , I will .;I am feeling great;walk 10 miles;I am a little low;low;;;;eat a piece of fruit;;;;;;;;;;;;;;;;;;
Hey , I need some help . Ok , how are you feeling ? I am ok but I have a fade sensation … Did you checked your blood sugar ? Yes , I am low … I already took some candy but it doesn't improve . Rest a little and check your glucose levels again in an hour . If you still low , please talk to your doctor . Ok , thanks .;I am ok;;I am low;low;;;;eat some candy;;Check again in an hour;I have a fade sensation;;;;;;;;;;;;;;;
Good morning. How are you doing ? I am okay but now it seems i can't walk . Oh … do your legs tremor ? Yes , a little . It could be that your blood sugar is low . I checked it and I am low , you are right . Ok , take some sugar then . A fructose pill should help you . Thanks for the advise . No problem . Talk to you later . ;I am okay;;I am low;low;;;;take some sugar then. Take a fructose pill;;;i can't walk. My legs tremor.;;;;;;;;;;;;;;;
Hi ! How are you ? I am in a really bad mood . Has anything bad happened to you ? No , nothing . You should check your blood sugar . I am low . All day I have been low . So your bad mood could be because of that . I am unable to maintain the glucose level ok . You should ask your doctor ... maybe you are taking to much insulin . Oh . Okay , thanks for the advise . ;I am in a really bad mood;;I am low;low;;you are taking to much insulin;;;;;I am in a really bad mood;;you are taking to much insulin;;;;;;;;;;;;;
Good afternoon . Hey ! How are you ? I don't feel good , I am dizzy and my blood pressure is alterated . Did you check your glucose levels ? No , but I will . Maybe you are a little low . Yes , that's it . I am a bit low . Don't worry , try eating a piece of fruit and it should be better . ;I don't feel good;;I am a bit low;low;;;;eat a piece of fruit;;;I am dizzy and my blood pressure is alterated;;;;;;;;;;;;;;;
Hey , how are you doing ? I am ok but my hands shake . I cannot write and i am at school right now . Oh , i am sorry to hear that … Can you check your blood sugar ? Yes , in the infermery they have the machine . Ok , tell me how are you . I am quite low . That is what i though . Do you have anything sweet ? Yes , i have an orange juice . Drink it and you should feel better . Ok , thanks . No problem . ;I am ok;;I am quite low;low;;;;drink an orange juice;;;my hands shake . I cannot write;;;;;;;;;;;;;;;
Hello , I don't feel good . Oh … sorry to hear that . What happens ? I have my menstruation and i think my blood sugar is low … It could be, menstruation can alter your blood sugar . I just checked my blood sugar levels and I am a little bit low . Eat some carbohydrates . It should improve your glucose levels . Ok, thanks . Bye . ;I don't feel good;;I am a little bit low;low;;;;Eat some carbohydrates;;;;;I have my menstruation;;;;;;;;;;;;;
Good night . Hey , how have been your day ? Great , thanks . How are you feeling ? I am very tired . I think I have drop my glucose levels after injecting rapid insulin . Did you check it ? I just did , I am very low . Oh … take deep breaths and try to eat a snack . It should help you . Ok , I will . Thanks .;Great;;i am very low;low;;;;eat a snack;;;I am very tired;;injecting rapid insulin;;;;;;;;;;;;;
Hello ! Hi , how are you ? I am fine . What did you do today ? I had a big family meal . There was lots of food . Oh! Did you control your glucose ? Yes , I tried . When was last time you checked ? Just when I finished eating . Maybe you should check again . Ok , I just did and I am a little high . What should I do ? If it is only a little , you should go for a walk or run a couple of miles . Ok , I will go running . Thanks ! You're welcome . Don't forget drinking water. ;I am fine;go for a walk or run a couple of miles;I am a little high;high;;;;;go for a walk or run a couple of miles. drink water. ;;;;family meal;;;;;;;;;;;;;
Hey ! Hi ! How are you doing ? I'm great thanks ! Yesterday night I celebrated my birthday . Oh ! Happy birthday ! Thanks . What did you do ? We went bowling and then we had dinner . What did you eat? We had pizza and some cake after . That is great but it isn't the best option to control your glucose levels . I know , but I was alright last night . Did you check your blood sugar again today ? No , I didn't but I don't have any symptoms . Could you check it to be sure ? Yes , I already did and I am a little high ... what do you recommend me ? You should go do some exercise , do you like cycling ? Yes , I love it . I will do that . Thanks .;I'm great;cycling;I am a little high;high;;;pizza and some cake after;;do some exercise;;;;;;;;;;;;;;;;;
Hello , I don't feel ok . What do you have ? I have dry mouth . It is a bizarre feeling , never happened before . It could be a symptom of high blood sugar . Did you check your glucose levels ? I just did , my glucose levels are high . What can I do ? You should increase your insulin dose next time . Ok , thanks . ;I don't feel ok;;are high;high;;;;;increase your insulin dose;;;I have dry mouth;;;;;;;;;;;;;;
Hi ! Hello , happy Sunday . How are you doing ? I am alright but i my glucose levels are higher than usual . What did you do today ? Nothing special , but i didn't follow my normal diet . Oh … that may be the reason . What did you eat? I ate chinease rice . Oh ... that has a lot of carbohydrates . Yes, I know . Try to correct the intake of carbohydrates of the following meal . Do you think I should go for a walk ? Yes ! It definitely will help . Ok , perfect . Thanks . Anytime . ;I am alright;go for a walk;are higher than usual;high;;;eat chinease rice;;correct the intake of carbohydrates. go for a walk.;;;;don't follow my normal diet;;;;;;;;;;;;;
Hello . How are you doing ? I am okay but recently I urinate a lot . I didn't think about it until today that I was on the mountain and i couldn't go to the bathroom. That might be your glucose levels . Did you check them ? Yes, right now . I am very high . If you are very high , you should inject an extra insulin dose . Ok , I will . I don't know why I am that high . Be careful with your diet . Ok , I will . ;I am okay;;I am very high;high;;;;;inject an extra insulin dose;;;I urinate a lot;;;;;;;;;;;;;;
Good morning . How are you feeling ? I am fine , thanks . What's new ? I just started my first year of medical school. Oh that is great , congratulations . Thanks . And how are your glucose levels these days ? I am high . In fact, I urinate frequently ... I tried to correct my insulin dose but i can't correct my glucose levels . Oh ... that is not okay . Maybe you should talt to your doctor . It might be also the stress of your firsts days in med school. It could be, yes . Thanks for talking to me . Anytime , I am here for you . ;I am fine;;I am high;high;;correct my insulin dose;;;correct my insulin dose;;;I urinate frequently;stress;;;;;;;;;;;;;
Hello , i don't feel ok . I am very thirsty and I have my mouth dry . Those are symptoms of high glucose levels . Did you check them ? I am high . That is it . You should inject some insulin . You will feel better . Ok . Thanks . Goodbye .;I don't feel ok;;I am high;high;;;;;inject some insulin;;;I am very thirsty and I have my mouth dry;;;;;;;;;;;;;;
Hi ! How are you ? I don't feel good . Why ? I was at a birthday party and I ate a slice of cake . Now I am very thirsty all the time and I have to pee a lot . Did you check your glucose levels ? Yes , I am very high . Oh … did you do anything ? Not yet . What should I do ? You may administrate some fast action insulin . I am sure you will be better after . ;I don't feel good;;I am very high;high;;;cake;;I am very thirsty all the time and I have to pee a lot;;;administrate some fast action insulin;;;;;;;;;;;;;;
Hello , how are you feeling today ? I am okay , but I am sleepy and fatigue . Oh… did you do lots of exercises today ? Not at all , I was in the sofa all day . Oh ! Maybe your glucose levels are high . The lack of exercise may increase blood sugar . I checked my glucose levels and I am high . I think you should go do some physical activity . Ok , I will go running around the lake . Ok , that is a very good activity . Yes , talk to you later . Thank you for your advice .;I am okay;running;I am high;high;;;;;do some physical activity;;;I am sleepy and fatigue;The lack of exercise may increase blood sugar;;;;;;;;;;;;;
