Dialogue,Mood,Sport,Glucose,Glucose_binary,Insulin,Insulin_dose,Bad_food,Remedies_low_glucose_level,Remedies_high_glucose_level,Glucose_checks,Symptoms_low_blood_sugar,Symptoms_high_blood_sugar,Risk_situation,Good_food
"Hey! How were you? I've been good. Yesterday was my prom. Oh! Congratulations. Thank you. And do you have a good time? Yes, it was great. Well. And how do you feel? At the moment I'm very tired. My glucose levels are high. I think yesterday I ate too much and I didn't recalculate my insulin dose. Oh... that's not right. Next time you should try to take insulin before you eat. Ok. I would definitely. Thank you for the tip.",I have been good,,My glucose levels are high.,high,,,,,take insulin before eating,,,I am very tired ,I ate too much and I didn't recalculated my insulin dose ,
"Good morning. How are you? I'm okay, but now it seems I can't go. Oh... do your legs shake? Yes, a little. It might be that your blood sugar is low. I checked it and I'm low, you're right. Ok, take some sugar then. A fructose pill should help you. Thanks for the advice. No problem. Talk later.",I am okay,,I am low,low,,,,take some sugar then. Take a fructose pill,,,i can't walk. My legs tremor.,,,
"Hi, how are you? I'm fine. I wasn't better. I'm just finishing college. Congratulations! How are your glucose levels? I'm a little high. Do you have something bizarre? Maybe, I just had some grapes. Oh! grapes have a lot of sugar. I didn't know. Don't worry, walk an hour and it should go down. Ok, I'm going to go now.",i'm fine ,walk an hour,I am a little high ,high,,,I just had some grapes,,walk an hour,,,,Grapes have lots of sugar,
"<SOS> how do you feel? fine, but I could do better. how did something happen? every morning I wake up a little high with my sugar even when I went to bed with a good sugar content. it could be in terms of the amount of carbohydrates in your dinner. no, I don't think so. I eat different foods and inject my insulin dose accordingly but after four or five hours my sugar increases. did you change your insulin type or lifestyle? I had a leg injury and I stopped sports and in the past I have a lot to do. that could be the cause behind your increase in glucose. yes I suppose so. should I increase my insulin dose? You should probably increase the dose but talk to your doctor first. Thanks I will contact my doctor to solve this problem. large <SOS>.",fine but i could be doing better .,,my sugar a bit high,high,, i eat different food and inject my insulin dose accordingly but after four or five hours my sugar increases . you probably should increase the dose but speak with your doctor first .,it could be related to the carbohydrates amount in your dinner .,,,,,,i ve stopped doing sport and in the past,
"Hello. Hey, how are you? I could be better, thank you. How can I help you today? I feel sad. Each of my friends or family have diabetes and they don't understand. Don't worry, I hear you. I need tips about food. Ok. Do you need some snack ideas? Yes! Please. Ok, my favorite snack is some blueberries with dark chocolate. Then, you could also eat some popcorn, better if it's homemade. Great! I love popcorn, I didn't know it was okay to eat it. Yes, it's good. Can I ask you how your blood sugar levels are? Yes, my blood sugar is okay. I'm happy about it. Right! Keep it so. Thank you so much for the help.",I could be better,,my blood sugar is okay,okay,,,,,,,,,," blueberries with dark chocolate , popcorn"
"Hello! Hey, how have you been? I'm ok. Thank you. How are your glucose levels? I'm a little high. And how is that? Normally I'm boxing, but I'm now injured. The lack of physical activity could spike your glucose levels. Yes, I know. What should I do? I recommend that you correct your insulin dose for considering the deficiency oh exercise. Talk to your doctor. Yes, I'll. Thanks for the tip. Any time. Talk later.",I am ok,boxe,I am a little high,high,,correct your insulin dose for taking into account the lack oh exercise,,,correct your insulin dose for taking into account the lack oh exercise,,,,The lack of physical activity could spike your glucose levels,
"<SOS>What did you do yesterday? I spent the whole day cool and I went to a fancy restaurant for dinner. nice, what did you order? I had a large steak with fries and a cheesecake for dessert. sounds delicious. Did you have to inject a large dose of insulin? yes I injected 15 units of fast action insulin. I see the fries and the cheesecake have a lot of carbohydrates. I had a good blood sugar level two hours after dinner but this morning I woke up pretty high. what was your blood sugar level this morning? 245 a bit higher than I want. it is difficult to always keep a good blood sugar level. will you do something to improve it? i m go for a walk in the park now. great enjoy your walk. You also enjoy your day <EOS>.",,walk,245 a bit higher than i would like .,high,,did you have to inject a big dose of insulin ? yes i injected 15 units of fast action insulin ., i had a big steak with french fries and a cheesecake for dessert . i see the fries and the cheesecake have a lot of carbohydrates . ,,,,,,fries and the cheesecake have a lot of carbohydrates,
"Hello, how are you? I'm fine. I don't have better. How are your glucose levels? I'm low because yesterday I have a lot of exercise? How so? What did you do? I went skiing and after I went for a walk in the mountain. Oh! That's awesome! Have you changed your insulin dose? No, I think that's why I'm low today. Yes, maybe you drink a juice. I don't like juice. How about a snack? Yes, it will work too. Eat some carbohydrates as a piece of bread or a little pasta. Ok, that's going to be fine. Thank you, talk later.", i m fine . i haven t been better,"skiing , walk in the mountain",I am low,low,,Did you modify your insulin dose ? No,,drink a juice .  Eat some carbohydrates as a slice of bread or a little bit of pasta,,,,,lot of exercise,
"Hey. Hello! How are you? I feel good. It's nice to read that. I have a question for you. Of course, what is it? Recently I have to go to the bathroom very often. I don't know if it could be a symptom of a blood sugar change. It could be, yes. I recommend you take a blood sugar test. Ok, I'll go now. Tell me the results. I have a high blood sugar. What should I do? Talk to your doctor immediately. Ok, thank you.",I feel good,,I have a high blood sugar,high,,,,,Go talk to your doctor immediatly,,,I have to go to the bathroom very often,,
"<SOS> how are you? I've been feeling stressed lately. what makes you feel like this? I have a very important exam today and I can't fail. have you studied for the exam? I've been studying for my exam all week and I think this affects my blood sugar. why do you say that? I couldn't control my blood sugar level very well this week it was always high. have you changed yor diet or insulin dose? no, I kept it as usual. the stress from the exam is probably the cause of this increase in your blood sugar level. will it improve after completing my exam? the blood sugar level will certainly improve after you finish. I hope so. see <EOS>.",i am feeling stressed lately,,i couldn t control my blood sugar level very good this week it was always high,high,,,,,,,,,the stress from the exam is probably causing this rise in your glucose level ,
"Hi, how are you? I'm fine. I haven't been better. How's your blood sugar? It's a little low. Have you tried eating every snack? Yes, I only ate one toast with cheese. Ok, that Shoud improve your levels. Yes, but I don't want to have a glucose tip. Don't worry, check your glucose levels in two hours. Ok. Thanks. Bye.",i'm fine . i haven't been better .,,It is a bit low,low,,,,I just ate a toast with cheese ,,check your glucose levels in two hours ,,,,
"Hello! Hello! How are you? I'm good, thank you for the question. What's new? I have my glucose levels high. I don't know how to control it. Do you do any physical activity? Yes, I go through the neighborhood twice a week. Maybe it's not enough. You should walk around 30 minutes every day. Ok, I'll follow your advice. Perfect. Thank you. Have a nice day.",I am good,walk,I have my glucose levels high.,high,,,,,walk around 30 minutes every day,,,,,
"Good evening. How are you? I'm fine, thank you. How are your glucose levels? I just checked them and my blood sugar is good. That's great. Why do you think they're okay? Do you have a change in your lifestyle? Yes, in winter I go skiing three times a week. Oh! Great. Sports always helps diabetics. Yes. Just be careful your glucose levels don't fall. Always have a little snack with you. Yes, thank you for the tip. Bye.",I am fine,skiing,my blood sugar is good,good,,,,,,,,,,
"Hello, I don't feel okay. What do you have? I have dry mouth. It's a bizarre feeling never happened before. It could be a symptom of high blood sugar. Have you checked your glucose levels? I just got high, my glucose levels are high. What can I do? You should increase your insulin dose next time. Ok, thank you.",I don't feel ok,,are high,high,,,,,increase your insulin dose,,,I have dry mouth,,
"Hey, good morning. How are you? I feel good. My glucose levels are normal. Good! How did you control them? I think it's because I started exercising last week. What do you do? I wander. That's cool. Keep going. Yes, I will. Talk later.",I feel good,hike,My glucose levels are normal,normal,,,,,,,,,,
"<SOS>. <SOS>. what are you doing? not much I lie in the sofa watching a movie with some popcorn. that sounds like a great plan for me. well I wanted to go to dinner with friends because I stayed home all day. let me guess. Your friends weren't free today? They did it right. and how was your glucose today? a lack of exercise tends to increase the glucose levels. yes they were a bit high, but I really wanted to have some popcorn. You should increase your insulin dose if you want to have a good glucose level. I will now put insulin thanks for the advice. no problem hope you enjoy the movie. Thank you tomorrow. have a <EOS>",,,they were a bit high,high,, you should increase your insulin dose if you want to have a good glucose level ., yes they were a bit high but i really wanted to have some popcorn .,,,,,,a lack of exercise tends to increase the glucose levels,
"Hi, how do you feel today? I'm okay. How's your blood sugar? It's a little low, but I just feel a little tired. Okay, but you should control it. Drink some sugar water. Okay, I'll. Thanks.",i'm ok ,,It is bit low,low,,,,Drink some sugar water,,,i only feel a little tired ,,,
"Good morning. How do you feel? I'm fine, thank you. What's new? I just started my first year of medical school. Oh, that's great, congratulations. Thank you. And how are your glucose levels these days? I'm high. In fact, I urinate frequently... I've tried to correct my insulin dose, but I can't correct my glucose levels. Oh... that's not okay. Maybe you should be your doctor. It could also be the stress of your first days in medical school. It could be, yes. Thank you for talking to me.",I am fine,,I am high,high,,correct my insulin dose,,,correct my insulin dose,,,I urinate frequently,stress,
"Hey! Oh, it's been a while since we spoke the last one. How have you been? I've been great. I'm happy I could control my glucose levels. And why is that? I started doing some rhythmic gymnastics. Oh! Nice sport. Did it help with your blood sugar? Yes! I've had almost no glucose tip since I started. That's great. That's great. That's great! Yes, I'll. Thank you! Have a nice day.",I have been great. I am happy.,rythmic gymnastics,control my glucose levels,control,,,,,,,,,,
"Hello. I need help. I just drank a pineapple juice because I was a little low and now I feel worse. What do you have? I'm dizzy and very thirsty. I think your blood sugar could be high. Check it if you can. You're right. I'm very high. You should inject some quick action insulin. Okay, I'll. Thank you for your help. You're welcome.",I feel worse,,I am very high,high,,,,,inject some fast action insulin,,,,,
<SOS> how are you? <SOS> I feel great today. what did you do today? I played a basketball match this morning. How was it? did you win? yes and I scored 40 points. wow you did an amazing game affect your glucose? yes my sugar level was low after lunch. did you inject too much insulin? yes I did not consider the exercise. next time you think about the exercise when you calculate the insulin dose. yes I will. <EOS>.,i'm feeling great today,play a baskeball match,sugar level was low after lunch,low, did you inject too much insulin ? yes i didn t take into account the exercise,next time think about the exercise when you calculate the insulin dose,,,,,,,inject too much insulin,
"Hello. Hey! How are you? I'm fine, thank you. How can I help you? I'm a little high and I think it will raise a lot. I just ate a whole ice cream that someone told me was sugar-free. It wasn't and now I feel scared. Don't feel bad. If it had too much sugar, inject some quick action insulin and it will help with your glucose spike. Ok, I'll. Thank you. You're welcome. I hope you'll be better.",I am fine,,I am a little high,high,,,ice cream,,inject some fast action insulin,,,,I just ate a whole ice cream,
"Hello, how do you feel? I'm very good these days. Oh! Why is that? My glucose levels are very good. I started playing paddle last month. Oh, it seems the physical activity helped you with your diabetes. Yes! It definitely helped. I would have done it before. Keep going and everything will be good!",I am very good,play paddle,My glucose levels are very good,good,,,,,,,,,,
"Hello, how are you? I'm really excited. About what? I'm going to my dream trip next week. Oh! That's awesome. Have you controlled your glucose levels? Strong emotions can affect them. No, my glucose levels are a bit low. Do you have any symptoms? If I have low glucose levels, I always have headaches. Ok, so don't forget to eat something sweet or drink. Yes! I'll be right now. Thanks.",i am really excited,,my glucose levels are a bit low,low,,,,eat or drink something sweet,,,i always have headache,,strong emotions may affect them,
"Hey! How are you? I'm good! I ate pasta for lunch, I love pasta days! Oh! But it could increase your blood sugar. I know I'll check my glucose levels now. Ok, tell me your results. I'm a little high. Oh! On your next meal, eat some slow-absorbing foods like salad or tomatoes. Ok, I'll. Thanks.",I am good,,I am a little high,high,,,pasta,,eat some slow-absorbing foods as lettuce or tomatoes,,,,eat pasta,lettuce or tomatoes
"Hello, I was diagnosed a month ago and I don't have much information about the disease. Oh! I'm sorry. How's your blood sugar today? I'm a little low. Ok, don't worry. You can drink a soda",,,i am a little bit low,low,,,,drink a soda,,,,,,
"Hello, what's going on? I'm fine, but I have sweet cravings. I can't stop thinking about cookies. This could be an indicator of low blood sugar. How are your glucose levels? I'm a little low. So that you eat some sugar and I hope that the sweet cravings will disappoint. Ok. Thanks for your advice.",i'm fine,,I am a little low,low,,,,eat some sugar,,,i have sweet cravings,,,
"Hello. How are you? Tired, I just came back for a run. Awesome, how are your glucose levels? My glucose is now fine. Running always helps. Keep it. Yes! Of course. I should go. Ok, bye.",tired,run,My glucose is okay now,okay,,,,,,,,,,
"Hi, how are you? I'm fine, but my glucose levels are high. What did you do yesterday? Nothing, I was in bed all day because of a headache. The lack of exercise could be the reason for your glucose tip. What did you eat? A salad with some chicken. That's fine. Try to do some exercise today. Yes, I'm going for a Walt around the park. Ok, you have a nice day.",i m fine,a walk around the park ,my glucose levels are high,high,,,,,,,,,The lack of exercise could be the reason of your glucose spike,
"Hi, how are you? I'm not doing well. I urinate a lot recently. It can be your glucose level, have you checked it? My glucose level is quite high. Have you tried to inject an additional dose of insulin? No, but I will now. Thank you. If it continues high, you should talk to your doctor. Ok, I will.",i'm not doing fine,,my glucose level is quite high .,high,,,,,,,,I urinate a lot recently,,
"Hello! Hello! How are you? I'm great thanks! Last night I celebrated my birthday. Oh! Congratulations! Thank you. What did you do? We went bowling and then we had dinner. What did you eat? We had pizza and some cake after. That's great, but it's not the best option to control your glucose levels. I know, but I was fine last night. Did you check your blood sugar again today? No, I didn't, but I don't have any symptoms. Could you check it to be sure? Yes, I already have and I'm a little high... what do you recommend me? You should make some exercise, you like cycling? Yes, I love it. I'll do it. Thank you.",I'm great,cycling,I am a little high,high,,,pizza and some cake after,,do some exercise,,,,,
"Hello. Hello! How are your glucose levels? My glucose levels are fine now. That's cool. Yes! I'm very happy. How did you do it? I started a Zumba class. Oh, great! Do you love to dance? Yes, it was always my passion. Very good. Just always have some sugar with you. Okay, I'll. Thank you, you always give me good tips. I have to go, talk later? Of course! Until then.",I am very happy,zumba class,My glucose levels are okay now,okay,,,,,,,,,,
"Hey! How do you feel? Now I'm not big. I feel dizzy and nauseous. Since when? I was in the Zumba course and I started to feel really bad. You should check your glucose levels. Yes, I'm very low at the moment. I'm sorry to hear that. Please, take 5g sugar, I'm sure you'll feel better. I can't have sugar now. I can buy a juice here. Drink a juice, you'll feel better. Ok. Thank you for your help. At any time. Hope you feel better. Thanks. Until later.",Now I am not great,zumba class,I am very low right now,low,,,,"take 5g of sugar , drink a juice",,,I feel dizzy and nauseous,,during training,
"Hello, how are you? I could be better. Why? How are your glucose levels? I'm very high. I urinate a lot and I'm very thirsty. Be careful and inject your insulin. You should go some exercise as well. Okay, I'll go swimming. Thanks. Talk later.",i could be better,swimming,i am very high,high,inject some insulin,,,,,,,I urinate a lot and I am very thirsty,,
"Hello, how are you? I'm fine. How are your glucose levels? I'm a little high. Oh! Have you eaten any carbohydrates? Yes, I ate pizza last night. That's the reason for your tip of glucose. Try injecting some quick effect insulin. Yes, I'll do it. Thank you.",i m fine,,i am a little high,high,try to inject some insulin,,pizza,,,,,,I ate pizza last night,
"Hey, how are you? I'm not good. Is there something bothering you? Yes, in the last few weeks my glucose levels have been high and I can't reduce them. Have you eaten something extraordinary? No, as usual. And do you have some physical activity? Yes, I went running for a 40 minutes every day. Do you have your insulin dose, as your doctor said? Yes, of course. Then I think you should talk to your doctor, perhaps your dose is less than necessary. Thank you for your advice.",I am not well,,my glucose levels have been high,high,,your dose is less than needed,,,,,,,,
"Hey there! How are you? I'm afraid. Why is that? I recently diagnosed with diabetes mellitus and I don't know much about it. Don't worry. I can help you. How are your glucose levels now? I'm a little high. Oh, I see. It's important to do some physical activity. Do you usually have exercise? Yes, I love cycling. I ride my bike four times a week. That's good! You should always have some sugar with you in case your glucose levels fall and you have to take something. Ok, I'll go. I have to go, but I'll talk to you later. Thanks for your advice. At any time. Bye.",I am scared,cycling,I am a little high,high,,,,,,,,,,
"Hello! How are you? Good! But I'm extremely hungry. I cook a big meal. What do you cook? A lentil salad with lots of raw vegetables. Oh! Be careful because this food is not very good for your glucose levels. Have you checked your glucose levels today? I just, I'm a little low. I'm sure you feel better after you eat. Yes! I hope so. I have to go. Talk later.",fine,,i am a little low,low,,,lentils salad with lots of raw vegetables,,,,i am extremely hungry,,,
"Hello, how are you? I don't feel well. I feel dry my mouth. Have you checked your blood sugar? Yes, it's really high.",i don't feel fine,,it is really high,high,,,,,,,,I feel my mouth dry,,
"Hey, how are you? I'm good. And how are your glucose levels? I'm a bit high. You should go for a walk. It'll help you. At the moment I can't go outside. Then you should inject an additional insulin dose. Ok, I'll. Thanks for your tip. See you later! Thanks.",I am good,,I am a bit high,high,,,,,,,,,,
"Hello, what's going on? I don't feel well. I have chest pain. Do you think I have to go to the doctor? I don't know. How are your glucose levels? I just checked them, I'm low. Yes, that's what I thought. Try to eat some carbohydrates like rice or pasta and if your symptoms don't improve, go talk to your doctor. Ok, I'll do that. Thank you. Bye.",I don't feel good,,I am low,low,,,,Try to eat some carbohydrates as rice or pasta,,,I have chest pain,,,
"Hello! How are you? I'm not good. My parents say that I have mood swings and that I am always sad or angry. Recently I have been diagnosed with diabetes. Could it be your glucose level. Check them now, please. Ok, I'm a little low. Is that the reason for my mood swings? Yes. It could be. Try to eat a cookie. I'll. Thanks for your help! It was nice.",i am not well,,I am a bit low,low,,,,eat a cookie,,,I have mood swings and that I am always sad or angry,,,
"Hey, how have you been? I've been busy. Why? I just finished my university degree. Congratulations! And how are your glucose levels? Now, my glucose levels are fine. During my exams I couldn't control them, but now they're better. And how did you control them? I started playing paddles. Oh great! And did you play games? Yes, I have a paddle match a week. That's great. I hope you win. Yes, I too. Don't forget to take the right amount of carbohydrates. Yes! I'll. Thank you. Good bye.",I have been busy,"play paddle , one paddle match per week",my glucose levels are okay,okay,,,,,,,,,,
"Hi, what's going on? I'm great. I had a date last night. Great! And what did you do? We went to the movies and we ate a lot of sweet popcorn. Then we went dancing to a nightclub. Did you inject your insulin? Yes, last night I was fine. And how are your glucose levels now? I'm a little high. Maybe your insulin dose wasn't right. Try some exercise today. Ok, I'll go hiking. Speak tomorrow.",i'm great,"dancing , hiking",I am a little high .,high,,,we ate lots of sweet popcorn,,,,,,,
"Hello. Hello! How are you? I'm sad. I try to have a good diet, but my glucose is still very high. What should I usually eat? You can have blue fish or chicken, even some vegetables such as cabbage or broccoli. They are good for diabetes. Oh! Thank you for the advice. I have to go have a nice day. Bye bye.",I am sad,,my glucose is still very high,high,,,,,,,,,,"blue fish or chicken , also some vegetables as cabbage or broccoli"
"<SOS> what are you going to do today? I'll go to the mountain. be careful if you go a lot you need to reduce your insulin dose. yes, I'll reduce my insulin dose and I'll also eat some cookies before you go. well done, but it's possible that you need to check your glucose levels during the day. ok, but what should I do if my blood sugar level is low? You should always have sugar in your bag if your blood glucose drops. must it be sugar? no, you could also drink a juice with enough carbohydrates. big, that's all I need to know. enjoy your day on the mountain. I'll <EOS>",, going to the mountain,,,,be careful if you are going to walk a lot you may need to decrease your insulin dose,,ok but what should i do if my blood glucose level is low ? you should always have sugar in your bag in case your blood glucose drops . does it have to be sugar ? no you could also drink a juice with enough amount of carbohydrates,,it is possible that you need to check your glucose level during the da,,,if you are going to walk a lot you may need to decrease your insulin dose,
"Hello, I don't feel good. Oh... I'm sorry to hear that. What happens? I have my menstruation and I think my blood sugar is low... It could be menstruation can change your blood sugar. I just checked my blood sugar levels and I'm a little low. Eat some carbohydrates. It should improve your glucose levels. Ok, thank you. Bye.",I don't feel good,,I am a little bit low,low,,,,Eat some carbohydrates,,,,,I have my menstruation,
"Hello, how do you feel today? I'm doing well. How are your glucose levels? I'm a little high, but I'm going to go boxing now. Ok, that can improve your glucose levels. I think so. Control your glucose levels during your workout if they fall. Ok, I'll. Thanks for the advice. Talk to you later.",i'm doing fine,boxing,I am a little high,high,,,,,,Control your glucose levels during your training,,,,
"Hey! How are you? I'm not okay. I'm very tired and I think it's because my blood sugar. Why do you think that? Yesterday I had a big dinner with my family. I think I've eaten too much. Oh! Have you checked your glucose levels? Right now. My blood sugar is high. Don't worry, try to do some exercise today. Maybe a run or a walk. Yes, I'll definitely go for a run. Thanks for the tip.",I am not okay,run or walk,my blood sugar is high,high,,,,,do some exercise today . Maybe a run or a walk,,,I am very tired and I think it is because my blood sugar, large dinner,
"Hi, how are you? I'm very sad. Yesterday my dog passed away. Oh, I'm very sorry to hear that. I think it affected my glucose levels. It could be strong emotions can change your blood sugar. That's what I thought. I'm very tired, I can't even go. That could be an indicator. Have you checked your glucose levels? Yes, I'm a little low these days. I haven't eaten much. I'm sorry, but you should try. Maybe a good homemade cake will help you. And cooking can help distract you. I'll try thank you for your listening. At any time. I'm here for you. Good bye.",I am very sad,, I am a little low these days,low,,,,eat a homemade cake,,," I am very tired , I can't even walk",,"strong emotions can alter your blood sugar, I haven't eaten much",
"Hello, how are you? I'm excited. Today I'm going to the beach. Oh! That's awesome. Do you love the beach? Yes, but it's a little difficult for me to eat something there and control my blood sugar levels. How are your glucose levels now? My blood sugar is ok. Then you should take some nuts with you, they are good for snack. Oh! Fine. Remember to drink plenty of water. Yes! Thank you for your help. At any time. Enjoy your beach day. Thank you!",I am excited,,My blood sugar is ok,ok,,,,"take some nuts, drink water",,,,,,nuts
"Hello there. Good morning! How are you? I'm great, thank you! I'm very excited. About what? The next day I'm traveling to visit my best friend. Oh! Well! And how's your blood sugar? I'm a little low now, but I just ate a little cookie so I should be okay. That's good. I have to go now. Watch out. You too. Have a nice day.",I am great,,I am a bit low now,low,,,,ate a little cookie,,,,,,
"Hello, what's going on? I'm really tired. I also feel general discomfort. And how is your blood sugar? It's really high, I forgot my insulin and I'm on a trip. Oh! That could be very dangerous. Yes, I know. You should visit a doctor and ask for more. Yes, I will. Meanwhile, try to do some exercise. Yes, I'll go to the beach. Talk to you later.",i'm really tired,swimming in the beach ,it's really high,high,,,,,,,,I also feel general malaise,I forgot my insulin,
"Hello, I need your help. What do you need? I feel really bad, I have felt fainting and leg tremors since. It's related to my blood sugar? It could be. Please check your values now. Ok, I only have and they are very low. Ok, drink a soda and it will improve. If you don't feel better in half an hour, please go to your doctor. Okay. Thank you for your help. You are welcome.",i feel really bad,,they are very low,low,,,,drink a soda,,,I have feeling of fainting and leg tremor,,,
"Hello, how are you? I'm fine. I haven't been better. How are your glucose levels? I'm a little low. I haven't eaten much this morning. Don't worry, drink a juice or a soda and it will improve. You could eat watermelon or figs as well. Ok, I'll eat now. Thanks.",i'm fine . i haven't been better .,,I am a little low,low,,,,drink a juice or a soda and it will improve . You could eat watermelon or figs,,,,,,
"<SOS> what's up? I'm very excited, I have a date this afternoon. what will you do? we're going to do ice skating. that sounds great yes and after skating we're going to have some pizzas. hmmm I love pizza but remember pizza has a high amount of carbohydrates. I know, but it shouldn't affect my sugar level that a lot because I'm skating this afternoon. don't forget to measure your blood sugar levels one and a half hours after dinner. I'll just be in case I correct my insulin dose or eat more carbohydrates. enjoy your date. thanks to I'll tell you how it ends. <EOS>",i am very excited ,ice skating,,,,,we will get some pizzas . remember pizza has a high amount of carbohydrates .,i will just in case i have to correct my insulin dose or eat more carbohydrates . ,,measure your blood sugar level one hour and a half after dinner .,,,pizza has a high amount of carbohydrates,
"Hello! Hello, happy Sunday. How are you? I'm fine, but I have my glucose levels higher than usual. What did you do today? Nothing special, but I did not follow my normal diet. Oh... that can be the reason. What did you eat? I ate quinease rice. Oh... that has a lot of carbohydrates. Yes, I know. Try to correct the intake of carbohydrates of the following meal. Do you think I should go for a walk? Yes! It will definitely help. Ok, perfect. Thank you.",I am alright,go for a walk,are higher than usual,high,,,eat chinease rice,,correct the intake of carbohydrates. go for a walk.,,,,don't follow my normal diet,
"Hey, I have a loss of direction. Yes? Tell me more. Yes, I'm on the mountain and I can't remember anything. Don't worry. It can be your blood sugar. Is it low? Yes, my blood sugar is a little low. Eat every snack you have and you'll feel better. Okay. I'll. Thanks for your advice.",,,is a little low ,low,,,,Eat any snack ,,,I have a loss of direction,,,
"Hello. Hello! How do you feel? I'm okay, but I think my glucose levels are low. And why do you think that? I usually eat every three hours, but this time I didn't eat anything for five whole hours. And do you have any symptoms? Well, I'm sweaty and I feel tired. Check your blood sugar. Ok, I'm very low. That explains your symptoms. What do you usually do in these situations? I eat 5g sugar. Ok, have you done it? Not yet. Try it and you'll feel better. Okay, thank you for your support. Bye.",i am okay,,i am very low,low,,,,eat 5g of sugar,,,i am sweaty and i feel tired,,i haven't eaten anything for five whole hours,
"Hello! How do you feel today? I'm fine. Thank you. How are your glucose levels? At the moment, my glucose is okay. I need your help! I don't know what to cook today. You could make a broccoli soup and a blue fish. It's very healthy. Ok, thank you for the menu. You're welcome. Have a nice weekend. You too.",I am fine,,my glucose is okay,okay,,,,,,,,,,broccoli soup and a blue fish
"Hello! Hello! I just need to talk to someone. Oh! Are you okay? No, I'm very scared. Why? My glucose levels are high, I've tried to change my lifestyle, and it won't get better. Don't worry. Follow a special diet? Yes. Eliminate white flour food from your diet? Not all of them. Okay, you shouldn't eat any of them. You increase blood sugar. Ok. As for exercise, do any physical activity? I do yoga twice a week. That's good, but I think you should introduce something more. Maybe a run three times a week? Yes, I can do that. You'll feel better with these small changes. Ok! Thank you.",I am very scared,"yoga twice a week , run three times a week",My glucose levels are high,high,,,,,eliminate white flour foods of your diet,,,,,
"Hello. I'm a little scared. What have you got? I feel a palpation... I can't ignore it. It's been happening since this morning. Have you checked your blood sugar? It could be correlated? Yes, it could be. Oh, you're right. I'm very low. So you should take some sugar as candy. Then, check your blood sugar levels again and if it's still low and your palpation doesn't improve, go talk to your doctor.",i am a little scared,,i am very low,low,,,,"take some sugar , as candy",,check again your blood glucose,I feel a palpation,,,
"<SOS> <SOS> it's nice to see you here again. how are you? I woke up to low today. oh, that sad. eat some sugar to recover? no I had an orange juice and now I feel good. s great. do you know why this happens? I think I miscalculated my dinner insulin dose. You can also try to calculate more accurately the amount of carbohydrates in your dinner. yes I'll try to eat more next time. I have to go, I'll talk to <EOS>.",,,i woke up low today .,low,, i think i calculated my dinner insulin dose incorrectly . you can also try to calculate more precisely the carbohydrates amount in your dinner . ,,did you eat some sugar to recover ? no i had an orange juice and now i am feeling fine . ,,,,,calculated my dinner insulin dose incorrectly,
"<SOS>. how was your afternoon? what did you do? oh my afternoon was amazing I went to a rock concert with my girlfriend. that's really cool. yes and we also had some beers during the concert. it was amazing. that sounds really good. yes but now my glucose level is a bit high. could this be related to the beers? I'm sure that's the cause. I also danced in the concert, so I didn't set insulin during the concert. seems that the exercise you did during the dance in the concert was not enough to lower your glucose level. no, now I need to inject some insulin. be careful. even if you still have high glucose you have some movement now and it could affect your glucose later. well thought I'll reduce my insulin dose a little bit. okay, but don't forget to check your glucose level and half an hour after the insulin injection. no worries I'll have to hear. great. have a <SOS>.",,danced,yes but now my glucose level is a bit high . ,high,i have to inject some insulin .,i also danced in the concert so i didn t put any insulin during the concert . well thought i will decrease my insulin dose a little bit .,could this be related to the beers ? i am sure that is the cause .,,, okay but don t forget to check your glucose level one and a half hours after the insulin injection .,,,beers,
"Hi, how do you feel today? My mood is good, but I don't feel okay. I'm tired all the time. When did you check your blood sugar? This morning and I was fine. What did you have for lunch? I had some pasta with tomato sauce. Oh... maybe you should check your glucose levels again. Okay, I did it and I'm up now. Inject an additional dose of insulin.",My mood is good but i don't feel okay,,i am high now,high,,,I had some pasta with tomato sauce,,,,,I am sleepy all the time,,
"Hello, hello! How are you? I'm fine. And how are you glucose levels? My glucose levels are fine. Have you eaten something recently? Yes, I just ate a few nuts. Oh! Good and healthy snack. Yes, it doesn't spike my glucose levels. Talk later. Bye.",I am alright,,My glucose is okay,okay,,,,,,,,,,nuts
"Hey! Merry Christmas! How are you? I'm really happy. Yesterday I had dinner with my whole family. Have you eaten a lot? Yes, absolutely. I eat too much. And how do you feel? I'm okay, even if I go to the bathroom very often. Maybe you should check your glucose levels, it seems a little high. Oh! You're right. I'm high. What do you recommend? I think you should inject an extra dose of insulin. Ok, thank you. Have a nice day.",I am really happy,,I am high,high,,,,,inject an extra dose of insulin,,,I have to go very often to the bathroom,eat too much,
"<SOS> how do you feel today? my head is a little dizzy. I think my glucose is low. I think so too you should eat something to increase your glucose. I thought about eating some cheese. Cheese is delicious, but it's not the best thing for you now. You need to eat a little sugar or a juice. ok, but I really want to eat cheese. then you should eat the cheese with some bread it will also help to increase your glucose. I will do that. but first you should drink a juice, it will make you feel better. ok I will drink a juice and eat bread with cheese. right, but be careful with the bread too much could increase your glucose too much. I will only have a piece of bread. perfectly enjoy your food. thank you <EOS>.",,,,,,,, i think so too you should eat something to raise your glucose .  you have to eat a bit of sugar or a juice . then you should eat the cheese with some bread it will also help to raise your glucose . ,,,my head is a bit dizzy . i think my glucose is low .,,,
